Country Name,Country Code,2019,2020,2021,2022
Cameroon,CMR,39.67097644,40.77324121,45.33828539,44.34164651
Bolivia,BOL,40.89532285,36.62984381,40.40820852,43.06888567
Paraguay,PRY,37.92533846,35.43217794,39.95089973,41.72229536
Latvia,LVA,34.34396107,34.60174032,39.7253836,41.15391266
Nepal,NPL,34.18618069,33.43365922,36.92484143,40.8282473
Estonia,EST,31.08190191,31.37039557,37.19116615,38.10081296
El Salvador,SLV,26.88114,24.93008,29.45124,32.48872
Honduras,HND,25.08993711,23.82785969,28.4887213,31.71770012
Papua New Guinea,PNG,24.75106924,23.84844244,26.311656,30.63344429
Cambodia,KHM,27.08939003,25.87279789,26.96106115,29.95676953
Zambia,ZMB,23.30866778,18.11063862,22.14764957,29.78445406
Cyprus,CYP,25.94519424,25.00826616,28.40806446,28.43905274
Trinidad and Tobago,TTO,23.84955781,21.05942885,24.46019627,27.89908234
Iceland,ISL,24.6636431,21.55308048,25.5526399,27.84164804
Senegal,SEN,23.40399598,24.53051306,27.56913673,27.68443024
Georgia,GEO,17.47043626,15.84292253,18.62936561,24.60537542
Bosnia and Herzegovina,BIH,20.48260335,20.22603073,23.64956607,24.52750729
"Macao SAR, China",MAC,55.204961,25.45968502,30.12379534,21.97947556
Guinea,GIN,13.4428615,14.17783584,16.09181784,21.22774939
Gabon,GAB,16.87440546,15.31457717,20.21794692,21.07173923
Zimbabwe,ZWE,21.83223493,21.50969841,28.37123867,20.6780556
Botswana,BWA,16.72590866,14.96029154,18.73706631,20.35232216
Haiti,HTI,15.01609093,14.50822252,20.87741495,20.25355189
Armenia,ARM,13.61929055,12.64169859,13.86140997,19.50278399
West Bank and Gaza,PSE,17.1335,15.5317,18.109,19.1119
Burkina Faso,BFA,16.17816167,17.93360621,19.737616,18.88461961
Albania,ALB,15.40182608,15.16273421,17.93056512,18.88209552
Mali,MLI,17.28025081,17.46539278,19.30946351,18.82717653
Mozambique,MOZ,15.39003104,14.15686492,15.77675742,17.85149143
Malta,MLT,15.88125806,15.04613694,17.7433762,17.76527001
Benin,BEN,14.39168631,15.65154521,17.69008352,17.40174631
Jamaica,JAM,15.83076637,13.81242186,14.65758636,17.09776075
Mongolia,MNG,14.20635902,13.31298143,15.28644174,16.81088336
Brunei Darussalam,BRN,13.46924016,12.00579591,14.006497,16.68153165
Lao PDR,LAO,18.74055955,18.98180071,18.82714853,15.72438378
Nicaragua,NIC,12.69902889,12.67816236,14.1458521,15.67158388
Guyana,GUY,5.173760192,5.471256595,8.044498801,15.35753707
Madagascar,MDG,14.10466468,13.0514412,14.55475412,14.9549676
"Congo, Rep.",COG,12.75033874,10.48315109,13.36623082,14.61553221
Moldova,MDA,11.73577463,11.53196788,13.69223015,14.42094788
Niger,NER,12.91645487,13.74417458,14.9150021,13.96960558
North Macedonia,MKD,12.60633845,12.36358053,13.82504983,13.56313206
Rwanda,RWA,10.34667564,10.17292517,11.05528197,13.31279677
Malawi,MWI,11.02537115,12.05610878,12.60233412,13.16466763
Mauritius,MUS,14.43634712,11.401041,11.4764336,12.89830709
"Bahamas, The",BHS,13.0587,9.7546,11.5276,12.8974
Chad,TCD,11.31495109,10.71539605,11.77998133,12.70414984
Namibia,NAM,12.5419281,10.58374876,12.44629085,12.60743698
Equatorial Guinea,GNQ,11.36413355,10.099158,12.26939339,11.81390845
Kyrgyz Republic,KGZ,8.871019823,7.780873259,8.740681889,10.93064492
Tajikistan,TJK,8.30081389,8.133963813,8.937805347,10.49212339
Mauritania,MRT,8.066118984,8.405498736,9.996240419,10.37546068
Kosovo,XKX,7.899741279,7.717143395,9.412034299,9.429156202
Togo,TGO,6.992656429,7.389329393,8.334047486,8.126439481
Somalia,SOM,6.485,6.883,7.628000011,8.1261056
Bermuda,BMU,7.423465,6.887147,7.1272,7.5505
Maldives,MDV,5.609385434,3.746329358,5.405557162,6.189865408
Montenegro,MNE,5.542053845,4.769995512,5.861430526,6.095978868
Barbados,BRB,5.32425,4.6718,4.8438,5.637914515
Fiji,FJI,5.481692622,4.47703018,4.296235428,4.9432482
Eswatini,SWZ,4.466214522,3.982236726,4.748702401,4.854167638
Liberia,LBR,3.3195965,3.0399825,3.509,4.00104715
Sierra Leone,SLE,4.076578654,4.062906364,4.249234574,3.970343852
Suriname,SUR,4.016040575,2.911807496,2.984706244,3.620655116
Djibouti,DJI,3.088853639,3.181071154,3.372287462,3.515109075
Andorra,AND,3.155149348,2.891001149,3.325145407,3.352032737
Timor-Leste,TLS,2.0285516,2.1583925,3.6212224,3.163324631
Burundi,BDI,2.576518879,2.649680261,2.775798697,3.073414678
Belize,BLZ,2.4165,2.08,2.4915,2.824081836
Lesotho,LSO,2.436029588,2.117736528,2.373416269,2.553459763
Central African Republic,CAF,2.221301351,2.326720902,2.516498412,2.382618615
Cabo Verde,CPV,2.266752197,1.878277311,2.091741774,2.314816792
"Gambia, The",GMB,1.813609679,1.812170878,2.038414974,2.273060863
St. Lucia,LCA,2.094185185,1.516,1.691259259,2.065027556
Antigua and Barbuda,ATG,1.675403704,1.416348148,1.560518519,1.757603704
Guinea-Bissau,GNB,1.439638411,1.431758232,1.638517607,1.633559092
Solomon Islands,SLB,1.619154958,1.536145831,1.580303517,1.595710784
Seychelles,SYC,1.645090567,1.183515398,1.286687873,1.588406479
Sint Maarten (Dutch part),SXM,1.459776536,1.24027933,1.384636872,1.571564246
Grenada,GRD,1.213485185,1.043411111,1.1228,1.256413185
Comoros,COM,1.195019531,1.225039196,1.296089479,1.242519407
Turks and Caicos Islands,TCA,1.197415,0.924583,1.04477879,1.138808881
Vanuatu,VUT,0.936526268,0.909421044,0.971636098,0.983582865
St. Kitts and Nevis,KNA,1.107844444,0.884522222,0.860844444,0.961563259
St. Vincent and the Grenadines,VCT,0.91076571,0.869111853,0.872226064,0.948558503
Samoa,WSM,0.912950619,0.86889835,0.843850778,0.832421565
Dominica,DMA,0.611537037,0.504214815,0.555266667,0.612048148
Sao Tome and Principe,STP,0.42742504,0.472551024,0.526653791,0.546680342
"Micronesia, Fed. Sts.",FSM,0.412,0.408,0.4040289,0.427094119
Marshall Islands,MHL,0.2320923,0.2417224,0.2595387,0.2796679
Kiribati,KIR,0.175181685,0.17755326,0.227610035,0.223352943
Nauru,NRU,0.125160082,0.124685687,0.145536603,0.150922211
Tuvalu,TUV,0.054123195,0.051746569,0.060196367,0.060349391
Aruba,ABW,3.395793855,2.610038939,3.126019385,0
